Date,Open,High,Low,Close,%Change
07-04-2021,14716.4502,14879.7998,14649.84961,14819.0498,0.69%
08-04-2021,14875.65039,14984.15039,14821.09961,14873.7998,-0.01%
09-04-2021,14882.65039,14918.4502,14785.65039,14834.84961,-0.32%
12-04-2021,14644.65039,14652.5,14248.7002,14310.7998,-2.33%
13-04-2021,14364.90039,14528.90039,14274.90039,14504.7998,0.96%
15-04-2021,14522.40039,14597.5498,14353.2002,14581.4502,0.40%
16-04-2021,14599.59961,14697.7002,14559,14617.84961,0.12%
19-04-2021,14306.59961,14382.2998,14191.40039,14359.4502,0.37%
20-04-2021,14526.7002,14526.9502,14207.2998,14296.40039,-1.61%
22-04-2021,14219.15039,14424.75,14151.40039,14406.15039,1.30%
23-04-2021,14326.34961,14461.15039,14273.2998,14341.34961,0.10%
26-04-2021,14449.4502,14557.5,14421.2998,14485,0.25%
27-04-2021,14493.7998,14667.5498,14484.84961,14653.0498,1.09%
28-04-2021,14710.5,14890.25,14694.9502,14864.5498,1.04%
29-04-2021,14979,15044.34961,14814.4502,14894.90039,-0.56%
30-04-2021,14747.34961,14855.4502,14601.7002,14631.09961,-0.79%
03-05-2021,14481.0498,14673.84961,14416.25,14634.15039,1.05%
04-05-2021,14687.25,14723.40039,14461.5,14496.5,-1.32%
05-05-2021,14604.15039,14637.90039,14506.59961,14617.84961,0.09%
06-05-2021,14668.34961,14743.90039,14611.5,14724.7998,0.38%
07-05-2021,14816.84961,14863.0498,14765.5,14823.15039,0.04%
10-05-2021,14928.25,14966.90039,14892.5,14942.34961,0.09%
11-05-2021,14789.7002,14900,14771.40039,14850.75,0.41%
12-05-2021,14823.5498,14824.0498,14649.7002,14696.5,-0.86%
14-05-2021,14749.40039,14749.65039,14591.90039,14677.7998,-0.49%
17-05-2021,14756.25,14938,14725.34961,14923.15039,1.12%
18-05-2021,15067.2002,15137.25,15043.7002,15108.09961,0.27%
19-05-2021,15058.59961,15133.40039,15008.84961,15030.15039,-0.19%
20-05-2021,15042.59961,15069.7998,14884.90039,14906.0498,-0.92%
21-05-2021,14987.7998,15190,14985.84961,15175.2998,1.24%
24-05-2021,15211.34961,15256.25,15145.4502,15197.7002,-0.09%
25-05-2021,15291.75,15293.84961,15163.40039,15208.4502,-0.55%
26-05-2021,15257.0498,15319.90039,15194.9502,15301.4502,0.29%
27-05-2021,15323.9502,15384.5498,15272.5,15337.84961,0.09%
28-05-2021,15421.2002,15469.65039,15394.75,15435.65039,0.09%
31-05-2021,15437.75,15606.34961,15374,15582.7998,0.93%
01-06-2021,15629.65039,15660.75,15528.2998,15574.84961,-0.35%
02-06-2021,15520.34961,15597.4502,15459.84961,15576.2002,0.36%
03-06-2021,15655.5498,15705.09961,15611,15690.34961,0.22%
04-06-2021,15712.5,15733.59961,15622.34961,15670.25,-0.27%
07-06-2021,15725.09961,15773.4502,15678.09961,15751.65039,0.17%
08-06-2021,15773.90039,15778.7998,15680,15740.09961,-0.21%
09-06-2021,15766.2998,15800.4502,15566.90039,15635.34961,-0.84%
10-06-2021,15692.09961,15751.25,15648.5,15737.75,0.29%
11-06-2021,15796.4502,15835.5498,15749.7998,15799.34961,0.02%
14-06-2021,15791.40039,15823.0498,15606.5,15811.84961,0.13%
15-06-2021,15866.9502,15901.59961,15842.40039,15869.25,0.01%
16-06-2021,15847.5,15880.84961,15742.59961,15767.5498,-0.51%
17-06-2021,15648.2998,15769.34961,15616.75,15691.40039,0.27%
18-06-2021,15756.5,15761.5,15450.90039,15683.34961,-0.47%
21-06-2021,15525.84961,15765.15039,15505.65039,15746.5,1.40%
22-06-2021,15840.5,15895.75,15752.09961,15772.75,-0.43%
23-06-2021,15862.7998,15862.9502,15673.9502,15686.9502,-1.12%
24-06-2021,15737.2998,15821.40039,15702.7002,15790.4502,0.34%
25-06-2021,15839.34961,15870.7998,15772.2998,15860.34961,0.13%
28-06-2021,15915.34961,15915.65039,15792.15039,15814.7002,-0.64%
29-06-2021,15807.5,15835.90039,15724.0498,15748.4502,-0.37%
30-06-2021,15776.90039,15839.09961,15708.75,15721.5,-0.35%
01-07-2021,15755.0498,15755.5498,15667.0498,15680,-0.48%
02-07-2021,15705.84961,15738.34961,15635.9502,15722.2002,0.10%
05-07-2021,15793.40039,15845.9502,15762.0498,15834.34961,0.26%
06-07-2021,15813.75,15914.2002,15801,15818.25,0.03%
07-07-2021,15819.59961,15893.5498,15779.7002,15879.65039,0.38%
08-07-2021,15855.40039,15885.75,15682.90039,15727.90039,-0.81%
09-07-2021,15688.25,15730.84961,15632.75,15689.7998,0.01%
12-07-2021,15766.7998,15789.2002,15644.75,15692.59961,-0.47%
13-07-2021,15794,15820.7998,15744.59961,15812.34961,0.12%
14-07-2021,15808.7002,15877.34961,15764.2002,15853.9502,0.29%
15-07-2021,15872.15039,15952.34961,15855,15924.2002,0.33%
16-07-2021,15958.34961,15962.25,15882.59961,15923.40039,-0.22%
19-07-2021,15754.5,15836.90039,15707.5,15752.40039,-0.01%
20-07-2021,15703.9502,15728.4502,15578.5498,15632.09961,-0.46%
22-07-2021,15736.59961,15834.7998,15726.40039,15824.0498,0.55%
23-07-2021,15856.7998,15899.7998,15768.40039,15856.0498,0.00%
26-07-2021,15849.2998,15893.34961,15797,15824.4502,-0.16%
27-07-2021,15860.5,15881.5498,15701,15746.4502,-0.72%
28-07-2021,15761.5498,15767.5,15513.4502,15709.40039,-0.33%
29-07-2021,15762.7002,15817.34961,15737.7998,15778.4502,0.10%
30-07-2021,15800.59961,15862.7998,15744.84961,15763.0498,-0.24%
02-08-2021,15874.90039,15892.90039,15834.65039,15885.15039,0.06%
03-08-2021,15951.5498,16146.90039,15914.34961,16130.75,1.11%
04-08-2021,16195.25,16290.2002,16176.15039,16258.7998,0.39%
05-08-2021,16288.9502,16349.4502,16210.2998,16294.59961,0.03%
06-08-2021,16304.40039,16336.75,16223.2998,16238.2002,-0.41%
09-08-2021,16281.34961,16320.75,16179.0498,16258.25,-0.14%
10-08-2021,16274.7998,16359.25,16202.25,16280.09961,0.03%
11-08-2021,16327.2998,16338.75,16162.5498,16282.25,-0.28%
12-08-2021,16303.65039,16375.5,16286.90039,16364.40039,0.37%
13-08-2021,16385.69922,16543.59961,16376.2998,16529.09961,0.87%
16-08-2021,16518.40039,16589.40039,16480.75,16563.05078,0.27%
17-08-2021,16545.25,16628.55078,16495.40039,16614.59961,0.42%
18-08-2021,16691.94922,16701.84961,16535.84961,16568.84961,-0.74%
20-08-2021,16382.5,16509.55078,16376.0498,16450.5,0.41%
23-08-2021,16592.25,16592.5,16395.69922,16496.44922,-0.58%
24-08-2021,16561.40039,16647.09961,16495.30078,16624.59961,0.38%
25-08-2021,16654,16712.44922,16617.5,16634.65039,-0.12%
26-08-2021,16627.94922,16683.69922,16603.40039,16636.90039,0.05%
27-08-2021,16642.55078,16722.05078,16565.59961,16705.19922,0.38%
30-08-2021,16775.84961,16951.5,16764.84961,16931.05078,0.92%
31-08-2021,16947.5,17153.5,16915.84961,17132.19922,1.08%
01-09-2021,17185.59961,17225.75,17055.05078,17076.25,-0.64%
02-09-2021,17095.40039,17245.5,17059.69922,17234.15039,0.81%
03-09-2021,17262.44922,17340.09961,17212.19922,17323.59961,0.35%
06-09-2021,17399.34961,17429.55078,17345.55078,17377.80078,-0.12%
07-09-2021,17401.55078,17436.5,17287,17362.09961,-0.23%
08-09-2021,17375.75,17383.40039,17254.19922,17353.5,-0.13%
09-09-2021,17312.84961,17379.65039,17302.69922,17369.25,0.32%
13-09-2021,17363.55078,17378.34961,17269.15039,17355.30078,-0.05%
14-09-2021,17420.34961,17438.55078,17367.05078,17380,-0.23%
15-09-2021,17387.65039,17532.69922,17386.90039,17519.44922,0.75%
16-09-2021,17539.19922,17644.59961,17510.44922,17629.5,0.51%
17-09-2021,17709.65039,17792.94922,17537.65039,17585.15039,-0.71%
20-09-2021,17443.84961,17622.75,17361.80078,17396.90039,-0.27%
21-09-2021,17450.5,17578.34961,17326.09961,17562,0.63%
22-09-2021,17580.90039,17610.44922,17524,17546.65039,-0.20%
23-09-2021,17670.84961,17843.90039,17646.55078,17822.94922,0.85%
24-09-2021,17897.44922,17947.65039,17819.40039,17853.19922,-0.25%
27-09-2021,17932.19922,17943.5,17802.90039,17855.09961,-0.43%
28-09-2021,17906.44922,17912.84961,17576.09961,17748.59961,-0.89%
29-09-2021,17657.94922,17781.75,17608.15039,17711.30078,0.30%
30-09-2021,17718.90039,17742.15039,17585.34961,17618.15039,-0.57%
01-10-2021,17531.90039,17557.15039,17452.90039,17532.05078,0.00%
04-10-2021,17615.55078,17750.90039,17581.34961,17691.25,0.43%
05-10-2021,17661.34961,17833.44922,17640.90039,17822.30078,0.90%
06-10-2021,17861.5,17884.59961,17613.15039,17646,-1.22%
07-10-2021,17810.55078,17857.55078,17763.80078,17790.34961,-0.11%
08-10-2021,17886.84961,17941.84961,17840.34961,17895.19922,0.05%
11-10-2021,17867.55078,18041.94922,17839.09961,17945.94922,0.44%
12-10-2021,17915.80078,18008.65039,17864.94922,17991.94922,0.42%
13-10-2021,18097.84961,18197.80078,18050.75,18161.75,0.35%
14-10-2021,18272.84961,18350.75,18248.69922,18338.55078,0.36%
18-10-2021,18500.09961,18543.15039,18445.30078,18477.05078,-0.12%
19-10-2021,18602.34961,18604.44922,18377.69922,18418.75,-1.00%
20-10-2021,18439.90039,18458.30078,18209.34961,18266.59961,-0.95%
21-10-2021,18382.69922,18384.19922,18048,18178.09961,-1.13%
22-10-2021,18230.69922,18314.25,18034.34961,18114.90039,-0.64%
25-10-2021,18229.5,18241.40039,17968.5,18125.40039,-0.57%
26-10-2021,18154.5,18310.44922,18099.30078,18268.40039,0.62%
27-10-2021,18295.84961,18342.05078,18167.90039,18210.94922,-0.47%
28-10-2021,18187.65039,18190.69922,17799.44922,17857.25,-1.85%
29-10-2021,17833.05078,17915.84961,17613.09961,17671.65039,-0.91%
01-11-2021,17783.15039,17954.09961,17697.09961,17929.65039,0.82%
02-11-2021,17970.90039,18012.25,17847.59961,17888.94922,-0.46%
03-11-2021,17947.94922,17988.75,17757.94922,17829.19922,-0.67%
04-11-2021,17935.05078,17947.55078,17900.59961,17916.80078,-0.10%
08-11-2021,18040.19922,18087.80078,17836.09961,18068.55078,0.16%
09-11-2021,18084.34961,18112.59961,17983.05078,18044.25,-0.22%
10-11-2021,17973.44922,18061.25,17915,18017.19922,0.24%
11-11-2021,17967.44922,17971.34961,17798.19922,17873.59961,-0.53%
12-11-2021,17977.59961,18123,17905.90039,18102.75,0.69%
